Data Escala de Tempo 1 GE Simp 4;MAX MIN 1 GE Simp 4;MIN MAX 1 GE Simp 4;Codigo Aneel;Codigo Nucleo Aneel;Data Dica;Data do Incio da Semana Din Instante GE Simp 4;Data Escala de Tempo 1 GE Simp 4;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Texto Incio Semana;Selecione Tipo de GE Simp 4
01/12/2020 00:00:00;06/12/2020 00:00:00;26/11/2020 00:00:00;*;*;12/2020;;01/12/2020 00:00:00;*;*;*;*;2;;51840,00519624
01/11/2020 00:00:00;06/11/2020 00:00:00;27/10/2020 00:00:00;*;*;11/2020;;01/11/2020 00:00:00;*;*;*;*;2;;48857,69465734
01/10/2020 00:00:00;06/10/2020 00:00:00;26/09/2020 00:00:00;*;*;10/2020;;01/10/2020 00:00:00;*;*;*;*;2;;52477,50384412
01/09/2020 00:00:00;06/09/2020 00:00:00;27/08/2020 00:00:00;*;*;9/2020;;01/09/2020 00:00:00;*;*;*;*;2;;49867,2264302
01/08/2020 00:00:00;06/08/2020 00:00:00;27/07/2020 00:00:00;*;*;8/2020;;01/08/2020 00:00:00;*;*;*;*;2;;48146,10123468
01/07/2020 00:00:00;06/07/2020 00:00:00;26/06/2020 00:00:00;*;*;7/2020;;01/07/2020 00:00:00;*;*;*;*;2;;47324,59054382
01/06/2020 00:00:00;06/06/2020 00:00:00;27/05/2020 00:00:00;*;*;6/2020;;01/06/2020 00:00:00;*;*;*;*;2;;44416,4304661
01/05/2020 00:00:00;06/05/2020 00:00:00;26/04/2020 00:00:00;*;*;5/2020;;01/05/2020 00:00:00;*;*;*;*;2;;44622,48771362
01/04/2020 00:00:00;06/04/2020 00:00:00;27/03/2020 00:00:00;*;*;4/2020;;01/04/2020 00:00:00;*;*;*;*;2;;43708,3601423
01/03/2020 00:00:00;06/03/2020 00:00:00;25/02/2020 00:00:00;*;*;3/2020;;01/03/2020 00:00:00;*;*;*;*;2;;51026,56288425
01/02/2020 00:00:00;06/02/2020 00:00:00;27/01/2020 00:00:00;*;*;2/2020;;01/02/2020 00:00:00;*;*;*;*;2;;49583,68304242
01/01/2020 00:00:00;06/01/2020 00:00:00;27/12/2019 00:00:00;*;*;1/2020;;01/01/2020 00:00:00;*;*;*;*;2;;52544,79621751
;;;*;*;;;;*;*;*;*;2;;10311057,8828265
